# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.489174175265e-02       2.079813764911e+04 
       3.505520979455e-02       2.068663558584e+04 
       3.521988419199e-02       2.057527659575e+04 
       3.538580657911e-02       2.046427166899e+04 
       3.555302050891e-02       2.035352363347e+04 
       3.572157156969e-02       2.024322107098e+04 
       3.589150751045e-02       2.013289449190e+04 
       3.606287837599e-02       2.002256591110e+04 
       3.623573665262e-02       1.991251589602e+04 
       3.641013742556e-02       1.980285514993e+04 
       3.658613854908e-02       1.969336450173e+04 
       3.676380083065e-02       1.958412220382e+04 
       3.694318823054e-02       1.947541996675e+04 
       3.712436807837e-02       1.936624631997e+04 
       3.730741130843e-02       1.925759160493e+04 
       3.749239271557e-02       1.914914954714e+04 
       3.767939123414e-02       1.904084580280e+04 
       3.786849024207e-02       1.893313801960e+04 
       3.805977789327e-02       1.882528077824e+04 
       3.825334748117e-02       1.871721145377e+04 
       3.844929783718e-02       1.860949749516e+04 
       3.864773376792e-02       1.850221109921e+04 
       3.884876653602e-02       1.839487941007e+04 
       3.905251438944e-02       1.828773374064e+04 
       3.925910314550e-02       1.818076005392e+04 
       3.946866683631e-02       1.807383583147e+04 
       3.968134842338e-02       1.796703761434e+04 
       3.989730059043e-02       1.786038197944e+04 
       4.011668662480e-02       1.775376462184e+04 
       4.033968139918e-02       1.764711242957e+04 
       4.056647246778e-02       1.754067415486e+04 
       4.079726129274e-02       1.743417100574e+04 
       4.103226461969e-02       1.732775232669e+04 
       4.127171602421e-02       1.722128386271e+04 
       4.151586765490e-02       1.711483206624e+04 
       4.176499220322e-02       1.700832406606e+04 
       4.201938513555e-02       1.690216466691e+04 
       4.227936722976e-02       1.679542018351e+04 
       4.254528746621e-02       1.668845392763e+04 
       4.281752633293e-02       1.658160017344e+04 
       4.309649961625e-02       1.647495455061e+04 
       4.338266276298e-02       1.636730456877e+04 
       4.367651591733e-02       1.626032232365e+04 
       4.397860975829e-02       1.615224761076e+04 
       4.428955228982e-02       1.604448454340e+04 
       4.461001677032e-02       1.593590842346e+04 
       4.494075101002e-02       1.582777527681e+04 
       4.528258831801e-02       1.571804142888e+04 
       4.563646044760e-02       1.560842678534e+04 
       4.600341297356e-02       1.549794756754e+04 
       4.638462364194e-02       1.538736138347e+04 
       4.678142437043e-02       1.527611453731e+04 
       4.719532775120e-02       1.516341397478e+04 
       4.762805913063e-02       1.505003035830e+04 
       4.808159562306e-02       1.493518528763e+04 
       4.855821377363e-02       1.481952490876e+04 
       4.906054803390e-02       1.470162741895e+04 
       4.959166276635e-02       1.458307123111e+04 
       5.015514115246e-02       1.446165189162e+04 
       5.075519511921e-02       1.433808465565e+04 
       5.139680113343e-02       1.421138174257e+04 
       5.208586722367e-02       1.408146197340e+04 
       5.282943638946e-02       1.394707479584e+04 
       5.363592964564e-02       1.380725729266e+04 
       5.451542636122e-02       1.365972557110e+04 
       5.547996664948e-02       1.350410925941e+04 
       5.654383409812e-02       1.333607221079e+04 
       5.772372769157e-02       1.315297408930e+04 
       5.903864900024e-02       1.294969937029e+04 
       6.050921441577e-02       1.271795292466e+04 
       6.215599369542e-02       1.244950528011e+04 
       6.399651340748e-02       1.213425196384e+04 
       6.604100510246e-02       1.176078058114e+04 
       6.828800148042e-02       1.132097997488e+04 
       7.072201619106e-02       1.081106052250e+04 
       7.331538420673e-02       1.023784744151e+04 
       7.603403783865e-02       9.619633363117e+03 
       7.884433894830e-02       8.980832422525e+03 
       8.171787190494e-02       8.348585638917e+03 
       8.463317159724e-02       7.749803559687e+03 
       8.757523533836e-02       7.204753376920e+03 
       9.053410865190e-02       6.727474616106e+03 
       9.350340560250e-02       6.324198824052e+03 
       9.647911600833e-02       5.994515947453e+03 
       9.945875476925e-02       5.732631989219e+03 
       1.024407943260e-01       5.528663524446e+03 
       1.054243002752e-01       5.369937074668e+03 
       1.084087026588e-01       5.242599634923e+03 
       1.113936543389e-01       5.132253437775e+03 
       1.143789440092e-01       5.026138339112e+03 
       1.173644430250e-01       4.912438498442e+03 
       1.203500730002e-01       4.783431983028e+03 
       1.233357860935e-01       4.635054883681e+03 
       1.263215530286e-01       4.465712434456e+03 
       1.293073558160e-01       4.278765949120e+03 
       1.322931833341e-01       4.079212005029e+03 
       1.352790286455e-01       3.874008250626e+03 
       1.382648873669e-01       3.670496798359e+03 
       1.412507566787e-01       3.475620298604e+03 
       1.442366347224e-01       3.295392384909e+03 
       1.472225202344e-01       3.133808794553e+03 
       1.502084123225e-01       2.993519969786e+03 
       1.531943103289e-01       2.874912448923e+03 
       1.561802137470e-01       2.777217138639e+03 
       1.591661221697e-01       2.697872024224e+03 
       1.621520352573e-01       2.633563281813e+03 
       1.651379527175e-01       2.580324741389e+03 
       1.681238742928e-01       2.533947872782e+03 
       1.711097997524e-01       2.491056145215e+03 
       1.740957288863e-01       2.447353040947e+03 
       1.770816615020e-01       2.399849816344e+03 
       1.800675974220e-01       2.346468471216e+03 
       1.830535364812e-01       2.286218087872e+03 
       1.860394785262e-01       2.219526295155e+03 
       1.890254234138e-01       2.147321000622e+03 
       1.920113710098e-01       2.071705279446e+03 
       1.949973211886e-01       1.994871694821e+03 
       1.979832738325e-01       1.919139009779e+03 
       2.009692288305e-01       1.846374305317e+03 
       2.039551860784e-01       1.778327602010e+03 
       2.069411454783e-01       1.716066788927e+03 
       2.099271069375e-01       1.660257118118e+03 
       2.129130703688e-01       1.611178158370e+03 
       2.158990356898e-01       1.568581027829e+03 
       2.188850028227e-01       1.531871478065e+03 
       2.218709716938e-01       1.500023810882e+03 
