# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.575881 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.471722692396e-01       3.588700692637e+02 
       4.501654921005e-01       3.535715138422e+02 
       4.531587151601e-01       3.484176558658e+02 
       4.561519384145e-01       3.433990971779e+02 
       4.591451618597e-01       3.385270693047e+02 
       4.621383854922e-01       3.337978168581e+02 
       4.651316093082e-01       3.291990223912e+02 
       4.681248333043e-01       3.247087021726e+02 
       4.711180574770e-01       3.203303496231e+02 
       4.741112818229e-01       3.160558109720e+02 
       4.771045063388e-01       3.118631534145e+02 
       4.800977310216e-01       3.077541252460e+02 
       4.830909558679e-01       3.037138681512e+02 
       4.860841808750e-01       2.997265597707e+02 
       4.890774060397e-01       2.957863657466e+02 
       4.920706313592e-01       2.919032984184e+02 
       4.950638568307e-01       2.880573619080e+02 
       4.980570824515e-01       2.842626486433e+02 
       5.010503082188e-01       2.805219618076e+02 
       5.040435341300e-01       2.768489253238e+02 
       5.070367601827e-01       2.732434181270e+02 
       5.100299863742e-01       2.697039547983e+02 
       5.130232127021e-01       2.662315654219e+02 
       5.160164391641e-01       2.628210524903e+02 
       5.190096657579e-01       2.594788617210e+02 
       5.220028924811e-01       2.562060545890e+02 
       5.249961193315e-01       2.530025779214e+02 
       5.279893463071e-01       2.498702211264e+02 
       5.309825734056e-01       2.468026870896e+02 
       5.339758006249e-01       2.437954438061e+02 
       5.369690279631e-01       2.408403029348e+02 
       5.399622554182e-01       2.379335102331e+02 
       5.429554829882e-01       2.350747431024e+02 
       5.459487106713e-01       2.322586355417e+02 
       5.489419384655e-01       2.294878139513e+02 
       5.519351663691e-01       2.267621455706e+02 
       5.549283943803e-01       2.240770702067e+02 
       5.579216224974e-01       2.214306479472e+02 
       5.609148507186e-01       2.188196786873e+02 
       5.639080790423e-01       2.162437017032e+02 
       5.669013074669e-01       2.137039347866e+02 
       5.698945359907e-01       2.112048027607e+02 
       5.728877646123e-01       2.087480313186e+02 
       5.758809933301e-01       2.063352409289e+02 
